source,id,publisher,city,borough,year,start_page,end_page,column_count,sample_page,key_page,page_offset,holding_institution,title,notes
nypl,ba842610-5ced-0134-072b-00505686a51c,Longworth,New York,Manhattan,1803/04,,,1,,,,NYPL,"New York City directory, 1803-1804",
nypl,684b54e0-5cef-0134-8173-00505686a51c,Longworth,New York,Manhattan,1804/05,,,1,,,,NYPL,"New York City directory, 1804-1805",
nypl,4b3aef40-5cf0-0134-dcb8-00505686a51c,Longworth,New York,Manhattan,1805/06,,,1,,,,NYPL,"New York City directory, 1805-1806",
nypl,fb912130-5d7c-0134-65af-00505686a51c,Longworth,New York,Manhattan,1806/07,,,1,,,,NYPL,"New York City directory, 1806-1807",
nypl,6d30d120-5d7d-0134-1ff9-00505686a51c,Longworth,New York,Manhattan,1807/08,,,1,,,,NYPL,"New York City directory, 1807-1808",
nypl,f74d77e0-5d7d-0134-3aff-00505686a51c,Longworth,New York,Manhattan,1808/09,,,1,,,,NYPL,"New York City directory, 1808-1809",
nypl,3bb9f8d0-5d7e-0134-186c-00505686a51c,Longworth,New York,Manhattan,1809/10,,,1,,,,NYPL,"New York City directory, 1809-1810",
nypl,10728690-5d7f-0134-7c52-00505686a51c,Longworth,New York,Manhattan,1810/11,,,1,,,,NYPL,"New York City directory, 1810-1811",
nypl,7cd3acc0-5d7f-0134-12ab-00505686a51c,Elliot & Crissy,New York,Manhattan,1811,,,,,,,NYPL,"New York City directory, 1811",
nypl,4910d0e0-5d7f-0134-3001-00505686a51c,Longworth,New York,Manhattan,1811/12,,,1,,,,NYPL,"New York City directory, 1811-1812",
nypl,e9592bb0-5d82-0134-f2a6-00505686a51c,Elliot,New York,Manhattan,1812,,,,,,,NYPL,"New York City directory, 1812",
nypl,d0465f00-5d83-0134-f8fe-00505686a51c,Longworth,New York,Manhattan,1812/13,,,1,,,,NYPL,"New York City directory, 1812-1813",
nypl,0f85c9f0-5d84-0134-5a37-00505686a51c,Longworth,New York,Manhattan,1813/14,,,1,,,,NYPL,"New York City directory, 1813-1814",
nypl,6d811c30-5d84-0134-6f98-00505686a51c,Long,New York,Manhattan,1814,,,,,,,NYPL,"New York City directory, 1814",
